Nuclide;Z;N;A;Nuclide
n-1;0;1;1;1n
H-1;1;0;1;1H
H-2;1;1;2;2H
H-3;1;2;3;3H
H-4;1;3;4;4H
H-5;1;4;5;5H
H-6;1;5;6;6H
H-7;1;6;7;7H
He-3;2;1;3;3He
He-4;2;2;4;4He
He-5;2;3;5;5He
He-5;2;3;5;5He
He-6;2;4;6;6He
He-7;2;5;7;7He
He-8;2;6;8;8He
He-8;2;6;8;8He
He-9;2;7;9;9He
He-10;2;8;10;10He
Li-3;3;0;3;3Li
Li-4;3;1;4;4Li
Li-5;3;2;5;5Li
Li-5;3;2;5;5Li
Li-6;3;3;6;6Li
Li-7;3;4;7;7Li
Li-8;3;5;8;8Li
Li-8;3;5;8;8Li
Li-9;3;6;9;9Li
Li-9;3;6;9;9Li
Li-10;3;7;10;10Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-12;3;9;12;12Li
Li-13;3;10;13;13Li
Be-5;4;1;5;5Be
Be-6;4;2;6;6Be
Be-6;4;2;6;6Be
Be-7;4;3;7;7Be
Be-8;4;4;8;8Be
Be-9;4;5;9;9Be
Be-10;4;6;10;10Be
Be-11;4;7;11;11Be
Be-11;4;7;11;11Be
Be-11;4;7;11;11Be
Be-12;4;8;12;12Be
Be-12;4;8;12;12Be
Be-13;4;9;13;13Be
Be-15;4;11;15;15Be
Be-16;4;12;16;16Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-18;5;13;18;18B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-20;5;15;20;20B
B-21;5;16;21;21B
B-15;5;10;15;15B
B-15;5;10;15;15B
B-15;5;10;15;15B
B-16;5;11;16;16B
B-6;5;1;6;6B
B-7;5;2;7;7B
B-7;5;2;7;7B
B-8;5;3;8;8B
B-8;5;3;8;8B
B-9;5;4;9;9B
B-9;5;4;9;9B
B-10;5;5;10;10B
B-11;5;6;11;11B
B-12;5;7;12;12B
B-12;5;7;12;12B
B-13;5;8;13;13B
B-13;5;8;13;13B
B-14;5;9;14;14B
B-14;5;9;14;14B
C-8;6;2;8;8C
C-8;6;2;8;8C
C-9;6;3;9;9C
C-9;6;3;9;9C
C-9;6;3;9;9C
C-10;6;4;10;10C
C-11;6;5;11;11C
C-12;6;6;12;12C
C-13;6;7;13;13C
C-14;6;8;14;14C
C-15;6;9;15;15C
C-20;6;14;20;20C
C-20;6;14;20;20C
C-20;6;14;20;20C
C-20;6;14;20;20C
C-19;6;13;19;19C
C-19;6;13;19;19C
C-19;6;13;19;19C
C-19;6;13;19;19C
C-22;6;16;22;22C
C-22;6;16;22;22C
C-22;6;16;22;22C
C-22;6;16;22;22C
C-21;6;15;21;21C
C-23;6;17;23;23C
C-16;6;10;16;16C
C-16;6;10;16;16C
C-18;6;12;18;18C
C-18;6;12;18;18C
C-18;6;12;18;18C
C-18;6;12;18;18C
C-17;6;11;17;17C
C-17;6;11;17;17C
C-17;6;11;17;17C
N-22;7;15;22;22N
N-22;7;15;22;22N
N-22;7;15;22;22N
N-22;7;15;22;22N
N-21;7;14;21;21N
N-21;7;14;21;21N
N-21;7;14;21;21N
N-21;7;14;21;21N
N-24;7;17;24;24N
N-23;7;16;23;23N
N-23;7;16;23;23N
N-23;7;16;23;23N
N-23;7;16;23;23N
N-25;7;18;25;25N
N-18;7;11;18;18N
N-18;7;11;18;18N
N-18;7;11;18;18N
N-18;7;11;18;18N
N-17;7;10;17;17N
N-17;7;10;17;17N
N-17;7;10;17;17N
N-20;7;13;20;20N
N-20;7;13;20;20N
N-20;7;13;20;20N
N-19;7;12;19;19N
N-19;7;12;19;19N
N-19;7;12;19;19N
N-10;7;3;10;10N
N-11;7;4;11;11N
N-12;7;5;12;12N
N-13;7;6;13;13N
N-14;7;7;14;14N
N-15;7;8;15;15N
N-16;7;9;16;16N
N-16;7;9;16;16N
O-25;8;17;25;25O
O-26;8;18;26;26O
O-26;8;18;26;26O
O-23;8;15;23;23O
O-23;8;15;23;23O
O-24;8;16;24;24O
O-24;8;16;24;24O
O-27;8;19;27;27O
O-18;8;10;18;18O
O-21;8;13;21;21O
O-22;8;14;22;22O
O-22;8;14;22;22O
O-19;8;11;19;19O
O-20;8;12;20;20O
O-28;8;20;28;28O
O-11;8;3;11;11O
O-12;8;4;12;12O
O-13;8;5;13;13O
O-13;8;5;13;13O
O-14;8;6;14;14O
O-15;8;7;15;15O
O-16;8;8;16;16O
O-17;8;9;17;17O
F-27;9;18;27;27F
F-27;9;18;27;27F
F-27;9;18;27;27F
F-27;9;18;27;27F
F-28;9;19;28;28F
F-25;9;16;25;25F
F-25;9;16;25;25F
F-25;9;16;25;25F
F-26;9;17;26;26F
F-26;9;17;26;26F
F-26;9;17;26;26F
F-19;9;10;19;19F
F-20;9;11;20;20F
F-23;9;14;23;23F
F-23;9;14;23;23F
F-24;9;15;24;24F
F-24;9;15;24;24F
F-21;9;12;21;21F
F-22;9;13;22;22F
F-22;9;13;22;22F
F-30;9;21;30;30F
F-31;9;22;31;31F
F-31;9;22;31;31F
F-31;9;22;31;31F
F-31;9;22;31;31F
F-29;9;20;29;29F
F-29;9;20;29;29F
F-29;9;20;29;29F
F-29;9;20;29;29F
F-13;9;4;13;13F
F-14;9;5;14;14F
F-15;9;6;15;15F
F-16;9;7;16;16F
F-17;9;8;17;17F
F-18;9;9;18;18F
Ne-20;10;10;20;20Ne
Ne-21;10;11;21;21Ne
Ne-22;10;12;22;22Ne
Ne-23;10;13;23;23Ne
Ne-24;10;14;24;24Ne
Ne-25;10;15;25;25Ne
Ne-26;10;16;26;26Ne
Ne-26;10;16;26;26Ne
Ne-27;10;17;27;27Ne
Ne-27;10;17;27;27Ne
Ne-27;10;17;27;27Ne
Ne-28;10;18;28;28Ne
Ne-28;10;18;28;28Ne
Ne-28;10;18;28;28Ne
Ne-29;10;19;29;29Ne
Ne-29;10;19;29;29Ne
Ne-29;10;19;29;29Ne
Ne-29;10;19;29;29Ne
Ne-30;10;20;30;30Ne
Ne-30;10;20;30;30Ne
Ne-30;10;20;30;30Ne
Ne-30;10;20;30;30Ne
Ne-31;10;21;31;31Ne
Ne-31;10;21;31;31Ne
Ne-32;10;22;32;32Ne
Ne-32;10;22;32;32Ne
Ne-32;10;22;32;32Ne
Ne-32;10;22;32;32Ne
Ne-33;10;23;33;33Ne
Ne-34;10;24;34;34Ne
Ne-34;10;24;34;34Ne
Ne-34;10;24;34;34Ne
Ne-34;10;24;34;34Ne
Ne-19;10;9;19;19Ne
Ne-17;10;7;17;17Ne
Ne-17;10;7;17;17Ne
Ne-17;10;7;17;17Ne
Ne-18;10;8;18;18Ne
Ne-15;10;5;15;15Ne
Ne-16;10;6;16;16Ne
Na-20;11;9;20;20Na
Na-20;11;9;20;20Na
Na-19;11;8;19;19Na
Na-18;11;7;18;18Na
Na-17;11;6;17;17Na
Na-32;11;21;32;32Na
Na-32;11;21;32;32Na
Na-32;11;21;32;32Na
Na-32;11;21;32;32Na
Na-31;11;20;31;31Na
Na-31;11;20;31;31Na
Na-31;11;20;31;31Na
Na-31;11;20;31;31Na
Na-34;11;23;34;34Na
Na-34;11;23;34;34Na
Na-34;11;23;34;34Na
Na-34;11;23;34;34Na
Na-33;11;22;33;33Na
Na-33;11;22;33;33Na
Na-33;11;22;33;33Na
Na-33;11;22;33;33Na
Na-36;11;25;36;36Na
Na-35;11;24;35;35Na
Na-35;11;24;35;35Na
Na-35;11;24;35;35Na
Na-35;11;24;35;35Na
Na-38;11;27;38;38Na
Na-37;11;26;37;37Na
Na-37;11;26;37;37Na
Na-37;11;26;37;37Na
Na-37;11;26;37;37Na
Na-39;11;28;39;39Na
Na-21;11;10;21;21Na
Na-23;11;12;23;23Na
Na-22;11;11;22;22Na
Na-25;11;14;25;25Na
Na-24;11;13;24;24Na
Na-24;11;13;24;24Na
Na-24;11;13;24;24Na
Na-27;11;16;27;27Na
Na-27;11;16;27;27Na
Na-26;11;15;26;26Na
Na-29;11;18;29;29Na
Na-29;11;18;29;29Na
Na-29;11;18;29;29Na
Na-28;11;17;28;28Na
Na-28;11;17;28;28Na
Na-30;11;19;30;30Na
Na-30;11;19;30;30Na
Na-30;11;19;30;30Na
Na-30;11;19;30;30Na
Mg-23;12;11;23;23Mg
Mg-22;12;10;22;22Mg
Mg-25;12;13;25;25Mg
Mg-24;12;12;24;24Mg
Mg-27;12;15;27;27Mg
Mg-26;12;14;26;26Mg
Mg-29;12;17;29;29Mg
Mg-28;12;16;28;28Mg
Mg-31;12;19;31;31Mg
Mg-31;12;19;31;31Mg
Mg-30;12;18;30;30Mg
Mg-30;12;18;30;30Mg
Mg-32;12;20;32;32Mg
Mg-32;12;20;32;32Mg
Mg-34;12;22;34;34Mg
Mg-34;12;22;34;34Mg
Mg-34;12;22;34;34Mg
Mg-33;12;21;33;33Mg
Mg-33;12;21;33;33Mg
Mg-33;12;21;33;33Mg
Mg-36;12;24;36;36Mg
Mg-36;12;24;36;36Mg
Mg-36;12;24;36;36Mg
Mg-36;12;24;36;36Mg
Mg-35;12;23;35;35Mg
Mg-35;12;23;35;35Mg
Mg-35;12;23;35;35Mg
Mg-35;12;23;35;35Mg
Mg-38;12;26;38;38Mg
Mg-38;12;26;38;38Mg
Mg-38;12;26;38;38Mg
Mg-38;12;26;38;38Mg
Mg-37;12;25;37;37Mg
Mg-37;12;25;37;37Mg
Mg-37;12;25;37;37Mg
Mg-37;12;25;37;37Mg
Mg-40;12;28;40;40Mg
Mg-40;12;28;40;40Mg
Mg-40;12;28;40;40Mg
Mg-40;12;28;40;40Mg
Mg-21;12;9;21;21Mg
Mg-21;12;9;21;21Mg
Mg-21;12;9;21;21Mg
Mg-39;12;27;39;39Mg
Mg-20;12;8;20;20Mg
Mg-20;12;8;20;20Mg
Mg-19;12;7;19;19Mg
Mg-41;12;29;41;41Mg
Al-22;13;9;22;22Al
Al-22;13;9;22;22Al
Al-22;13;9;22;22Al
Al-22;13;9;22;22Al
Al-21;13;8;21;21Al
Al-35;13;22;35;35Al
Al-35;13;22;35;35Al
Al-35;13;22;35;35Al
Al-36;13;23;36;36Al
Al-36;13;23;36;36Al
Al-36;13;23;36;36Al
Al-36;13;23;36;36Al
Al-33;13;20;33;33Al
Al-33;13;20;33;33Al
Al-34;13;21;34;34Al
Al-34;13;21;34;34Al
Al-34;13;21;34;34Al
Al-39;13;26;39;39Al
Al-39;13;26;39;39Al
Al-39;13;26;39;39Al
Al-39;13;26;39;39Al
Al-40;13;27;40;40Al
Al-40;13;27;40;40Al
Al-40;13;27;40;40Al
Al-40;13;27;40;40Al
Al-37;13;24;37;37Al
Al-37;13;24;37;37Al
Al-37;13;24;37;37Al
Al-37;13;24;37;37Al
Al-38;13;25;38;38Al
Al-38;13;25;38;38Al
Al-38;13;25;38;38Al
Al-38;13;25;38;38Al
Al-41;13;28;41;41Al
Al-41;13;28;41;41Al
Al-41;13;28;41;41Al
Al-41;13;28;41;41Al
Al-42;13;29;42;42Al
Al-42;13;29;42;42Al
Al-42;13;29;42;42Al
Al-42;13;29;42;42Al
Al-43;13;30;43;43Al
Al-43;13;30;43;43Al
Al-43;13;30;43;43Al
Al-43;13;30;43;43Al
Al-24;13;11;24;24Al
Al-24;13;11;24;24Al
Al-24;13;11;24;24Al
Al-24;13;11;24;24Al
Al-24;13;11;24;24Al
Al-24;13;11;24;24Al
Al-25;13;12;25;25Al
Al-23;13;10;23;23Al
Al-23;13;10;23;23Al
Al-28;13;15;28;28Al
Al-29;13;16;29;29Al
Al-26;13;13;26;26Al
Al-26;13;13;26;26Al
Al-27;13;14;27;27Al
Al-32;13;19;32;32Al
Al-32;13;19;32;32Al
Al-30;13;17;30;30Al
Al-31;13;18;31;31Al
Al-31;13;18;31;31Al
Si-44;14;30;44;44Si
Si-44;14;30;44;44Si
Si-44;14;30;44;44Si
Si-44;14;30;44;44Si
Si-45;14;31;45;45Si
Si-26;14;12;26;26Si
Si-27;14;13;27;27Si
Si-24;14;10;24;24Si
Si-24;14;10;24;24Si
Si-25;14;11;25;25Si
Si-25;14;11;25;25Si
Si-30;14;16;30;30Si
Si-31;14;17;31;31Si
Si-28;14;14;28;28Si
Si-29;14;15;29;29Si
Si-32;14;18;32;32Si
Si-33;14;19;33;33Si
Si-37;14;23;37;37Si
Si-37;14;23;37;37Si
Si-37;14;23;37;37Si
Si-38;14;24;38;38Si
Si-38;14;24;38;38Si
Si-35;14;21;35;35Si
Si-35;14;21;35;35Si
Si-36;14;22;36;36Si
Si-36;14;22;36;36Si
Si-41;14;27;41;41Si
Si-41;14;27;41;41Si
Si-41;14;27;41;41Si
Si-41;14;27;41;41Si
Si-42;14;28;42;42Si
Si-42;14;28;42;42Si
Si-42;14;28;42;42Si
Si-42;14;28;42;42Si
Si-39;14;25;39;39Si
Si-39;14;25;39;39Si
Si-39;14;25;39;39Si
Si-40;14;26;40;40Si
Si-40;14;26;40;40Si
Si-40;14;26;40;40Si
Si-40;14;26;40;40Si
Si-34;14;20;34;34Si
Si-43;14;29;43;43Si
Si-43;14;29;43;43Si
Si-43;14;29;43;43Si
Si-43;14;29;43;43Si
Si-23;14;9;23;23Si
Si-23;14;9;23;23Si
Si-23;14;9;23;23Si
Si-22;14;8;22;22Si
Si-22;14;8;22;22Si
P-40;15;25;40;40P
P-40;15;25;40;40P
P-40;15;25;40;40P
P-39;15;24;39;39P
P-39;15;24;39;39P
P-38;15;23;38;38P
P-38;15;23;38;38P
P-37;15;22;37;37P
P-37;15;22;37;37P
P-44;15;29;44;44P
P-44;15;29;44;44P
P-44;15;29;44;44P
P-44;15;29;44;44P
P-43;15;28;43;43P
P-43;15;28;43;43P
P-43;15;28;43;43P
P-43;15;28;43;43P
P-42;15;27;42;42P
P-42;15;27;42;42P
P-42;15;27;42;42P
P-41;15;26;41;41P
P-41;15;26;41;41P
P-41;15;26;41;41P
P-36;15;21;36;36P
P-36;15;21;36;36P
P-35;15;20;35;35P
P-47;15;32;47;47P
P-46;15;31;46;46P
P-46;15;31;46;46P
P-46;15;31;46;46P
P-46;15;31;46;46P
P-45;15;30;45;45P
P-45;15;30;45;45P
P-45;15;30;45;45P
P-45;15;30;45;45P
P-29;15;14;29;29P
P-28;15;13;28;28P
P-28;15;13;28;28P
P-28;15;13;28;28P
P-27;15;12;27;27P
P-27;15;12;27;27P
P-26;15;11;26;26P
P-26;15;11;26;26P
P-26;15;11;26;26P
P-33;15;18;33;33P
P-32;15;17;32;32P
P-31;15;16;31;31P
P-30;15;15;30;30P
P-25;15;10;25;25P
P-34;15;19;34;34P
P-24;15;9;24;24P
P-24;15;9;24;24P
S-49;16;33;49;49S
S-48;16;32;48;48S
S-48;16;32;48;48S
S-48;16;32;48;48S
S-48;16;32;48;48S
S-47;16;31;47;47S
S-47;16;31;47;47S
S-47;16;31;47;47S
S-47;16;31;47;47S
S-46;16;30;46;46S
S-46;16;30;46;46S
S-46;16;30;46;46S
S-46;16;30;46;46S
S-31;16;15;31;31S
S-30;16;14;30;30S
S-29;16;13;29;29S
S-29;16;13;29;29S
S-28;16;12;28;28S
S-28;16;12;28;28S
S-35;16;19;35;35S
S-34;16;18;34;34S
S-33;16;17;33;33S
S-32;16;16;32;32S
S-27;16;11;27;27S
S-27;16;11;27;27S
S-27;16;11;27;27S
S-26;16;10;26;26S
S-42;16;26;42;42S
S-42;16;26;42;42S
S-41;16;25;41;41S
S-41;16;25;41;41S
S-40;16;24;40;40S
S-39;16;23;39;39S
S-45;16;29;45;45S
S-45;16;29;45;45S
S-45;16;29;45;45S
S-44;16;28;44;44S
S-44;16;28;44;44S
S-43;16;27;43;43S
S-43;16;27;43;43S
S-38;16;22;38;38S
S-37;16;21;37;37S
S-36;16;20;36;36S
Cl-45;17;28;45;45Cl
Cl-45;17;28;45;45Cl
Cl-46;17;29;46;46Cl
Cl-46;17;29;46;46Cl
Cl-46;17;29;46;46Cl
Cl-41;17;24;41;41Cl
Cl-42;17;25;42;42Cl
Cl-43;17;26;43;43Cl
Cl-43;17;26;43;43Cl
Cl-44;17;27;44;44Cl
Cl-44;17;27;44;44Cl
Cl-37;17;20;37;37Cl
Cl-38;17;21;38;38Cl
Cl-38;17;21;38;38Cl
Cl-39;17;22;39;39Cl
Cl-40;17;23;40;40Cl
Cl-52;17;35;52;52Cl
Cl-48;17;31;48;48Cl
Cl-48;17;31;48;48Cl
Cl-48;17;31;48;48Cl
Cl-48;17;31;48;48Cl
Cl-49;17;32;49;49Cl
Cl-49;17;32;49;49Cl
Cl-49;17;32;49;49Cl
Cl-49;17;32;49;49Cl
Cl-50;17;33;50;50Cl
Cl-50;17;33;50;50Cl
Cl-50;17;33;50;50Cl
Cl-50;17;33;50;50Cl
Cl-51;17;34;51;51Cl
Cl-51;17;34;51;51Cl
Cl-51;17;34;51;51Cl
Cl-51;17;34;51;51Cl
Cl-47;17;30;47;47Cl
Cl-47;17;30;47;47Cl
Cl-47;17;30;47;47Cl
Cl-34;17;17;34;34Cl
Cl-34;17;17;34;34Cl
Cl-34;17;17;34;34Cl
Cl-35;17;18;35;35Cl
Cl-36;17;19;36;36Cl
Cl-36;17;19;36;36Cl
Cl-30;17;13;30;30Cl
Cl-31;17;14;31;31Cl
Cl-31;17;14;31;31Cl
Cl-32;17;15;32;32Cl
Cl-32;17;15;32;32Cl
Cl-32;17;15;32;32Cl
Cl-33;17;16;33;33Cl
Cl-28;17;11;28;28Cl
Cl-29;17;12;29;29Cl
Ar-54;18;36;54;54Ar
Ar-50;18;32;50;50Ar
Ar-50;18;32;50;50Ar
Ar-50;18;32;50;50Ar
Ar-51;18;33;51;51Ar
Ar-51;18;33;51;51Ar
Ar-51;18;33;51;51Ar
Ar-51;18;33;51;51Ar
Ar-52;18;34;52;52Ar
Ar-52;18;34;52;52Ar
Ar-52;18;34;52;52Ar
Ar-52;18;34;52;52Ar
Ar-53;18;35;53;53Ar
Ar-53;18;35;53;53Ar
Ar-53;18;35;53;53Ar
Ar-53;18;35;53;53Ar
Ar-48;18;30;48;48Ar
Ar-48;18;30;48;48Ar
Ar-49;18;31;49;49Ar
Ar-49;18;31;49;49Ar
Ar-49;18;31;49;49Ar
Ar-36;18;18;36;36Ar
Ar-37;18;19;37;37Ar
Ar-32;18;14;32;32Ar
Ar-32;18;14;32;32Ar
Ar-33;18;15;33;33Ar
Ar-33;18;15;33;33Ar
Ar-34;18;16;34;34Ar
Ar-35;18;17;35;35Ar
Ar-29;18;11;29;29Ar
Ar-30;18;12;30;30Ar
Ar-31;18;13;31;31Ar
Ar-31;18;13;31;31Ar
Ar-31;18;13;31;31Ar
Ar-31;18;13;31;31Ar
Ar-31;18;13;31;31Ar
Ar-31;18;13;31;31Ar
Ar-47;18;29;47;47Ar
Ar-47;18;29;47;47Ar
Ar-43;18;25;43;43Ar
Ar-44;18;26;44;44Ar
Ar-45;18;27;45;45Ar
Ar-46;18;28;46;46Ar
Ar-39;18;21;39;39Ar
Ar-40;18;22;40;40Ar
Ar-41;18;23;41;41Ar
Ar-42;18;24;42;42Ar
Ar-38;18;20;38;38Ar
K-59;19;40;59;59K
K-46;19;27;46;46K
K-45;19;26;45;45K
K-48;19;29;48;48K
K-48;19;29;48;48K
K-47;19;28;47;47K
K-42;19;23;42;42K
K-41;19;22;41;41K
K-44;19;25;44;44K
K-43;19;24;43;43K
K-40;19;21;40;40K
K-40;19;21;40;40K
K-39;19;20;39;39K
K-57;19;38;57;57K
K-56;19;37;56;56K
K-56;19;37;56;56K
K-56;19;37;56;56K
K-56;19;37;56;56K
K-58;19;39;58;58K
K-53;19;34;53;53K
K-53;19;34;53;53K
K-53;19;34;53;53K
K-53;19;34;53;53K
K-52;19;33;52;52K
K-52;19;33;52;52K
K-52;19;33;52;52K
K-52;19;33;52;52K
K-55;19;36;55;55K
K-55;19;36;55;55K
K-55;19;36;55;55K
K-55;19;36;55;55K
K-54;19;35;54;54K
K-54;19;35;54;54K
K-54;19;35;54;54K
K-54;19;35;54;54K
K-49;19;30;49;49K
K-49;19;30;49;49K
K-51;19;32;51;51K
K-51;19;32;51;51K
K-51;19;32;51;51K
K-50;19;31;50;50K
K-50;19;31;50;50K
K-50;19;31;50;50K
K-38;19;19;38;38K
K-38;19;19;38;38K
K-38;19;19;38;38K
K-35;19;16;35;35K
K-35;19;16;35;35K
K-34;19;15;34;34K
K-37;19;18;37;37K
K-36;19;17;36;36K
K-36;19;17;36;36K
K-36;19;17;36;36K
K-31;19;12;31;31K
K-33;19;14;33;33K
K-32;19;13;32;32K
Ca-59;20;39;59;59Ca
Ca-58;20;38;58;58Ca
Ca-58;20;38;58;58Ca
Ca-58;20;38;58;58Ca
Ca-58;20;38;58;58Ca
Ca-57;20;37;57;57Ca
Ca-57;20;37;57;57Ca
Ca-57;20;37;57;57Ca
Ca-57;20;37;57;57Ca
Ca-56;20;36;56;56Ca
Ca-56;20;36;56;56Ca
Ca-56;20;36;56;56Ca
Ca-56;20;36;56;56Ca
Ca-55;20;35;55;55Ca
Ca-55;20;35;55;55Ca
Ca-55;20;35;55;55Ca
Ca-54;20;34;54;54Ca
Ca-54;20;34;54;54Ca
Ca-53;20;33;53;53Ca
Ca-53;20;33;53;53Ca
Ca-52;20;32;52;52Ca
Ca-52;20;32;52;52Ca
Ca-51;20;31;51;51Ca
Ca-51;20;31;51;51Ca
Ca-50;20;30;50;50Ca
Ca-61;20;41;61;61Ca
Ca-60;20;40;60;60Ca
Ca-39;20;19;39;39Ca
Ca-38;20;18;38;38Ca
Ca-37;20;17;37;37Ca
Ca-37;20;17;37;37Ca
Ca-36;20;16;36;36Ca
Ca-36;20;16;36;36Ca
Ca-35;20;15;35;35Ca
Ca-35;20;15;35;35Ca
Ca-35;20;15;35;35Ca
Ca-34;20;14;34;34Ca
Ca-33;20;13;33;33Ca
Ca-49;20;29;49;49Ca
Ca-48;20;28;48;48Ca
Ca-47;20;27;47;47Ca
Ca-46;20;26;46;46Ca
Ca-45;20;25;45;45Ca
Ca-44;20;24;44;44Ca
Ca-43;20;23;43;43Ca
Ca-42;20;22;42;42Ca
Ca-41;20;21;41;41Ca
Ca-40;20;20;40;40Ca
Sc-50;21;29;50;50Sc
Sc-50;21;29;50;50Sc
Sc-50;21;29;50;50Sc
Sc-49;21;28;49;49Sc
Sc-48;21;27;48;48Sc
Sc-47;21;26;47;47Sc
Sc-46;21;25;46;46Sc
Sc-46;21;25;46;46Sc
Sc-45;21;24;45;45Sc
Sc-45;21;24;45;45Sc
Sc-44;21;23;44;44Sc
Sc-44;21;23;44;44Sc
Sc-44;21;23;44;44Sc
Sc-43;21;22;43;43Sc
Sc-42;21;21;42;42Sc
Sc-42;21;21;42;42Sc
Sc-41;21;20;41;41Sc
Sc-60;21;39;60;60Sc
Sc-60;21;39;60;60Sc
Sc-60;21;39;60;60Sc
Sc-60;21;39;60;60Sc
Sc-59;21;38;59;59Sc
Sc-59;21;38;59;59Sc
Sc-59;21;38;59;59Sc
Sc-59;21;38;59;59Sc
Sc-58;21;37;58;58Sc
Sc-58;21;37;58;58Sc
Sc-58;21;37;58;58Sc
Sc-58;21;37;58;58Sc
Sc-57;21;36;57;57Sc
Sc-57;21;36;57;57Sc
Sc-57;21;36;57;57Sc
Sc-57;21;36;57;57Sc
Sc-56;21;35;56;56Sc
Sc-56;21;35;56;56Sc
Sc-56;21;35;56;56Sc
Sc-56;21;35;56;56Sc
Sc-56;21;35;56;56Sc
Sc-55;21;34;55;55Sc
Sc-55;21;34;55;55Sc
Sc-55;21;34;55;55Sc
Sc-54;21;33;54;54Sc
Sc-54;21;33;54;54Sc
Sc-53;21;32;53;53Sc
Sc-53;21;32;53;53Sc
Sc-52;21;31;52;52Sc
Sc-52;21;31;52;52Sc
Sc-51;21;30;51;51Sc
Sc-51;21;30;51;51Sc
Sc-40;21;19;40;40Sc
Sc-40;21;19;40;40Sc
Sc-40;21;19;40;40Sc
Sc-39;21;18;39;39Sc
Sc-38;21;17;38;38Sc
Sc-37;21;16;37;37Sc
Sc-36;21;15;36;36Sc
Sc-35;21;14;35;35Sc
Sc-63;21;42;63;63Sc
Sc-62;21;41;62;62Sc
Sc-61;21;40;61;61Sc
Sc-61;21;40;61;61Sc
Sc-61;21;40;61;61Sc
Sc-61;21;40;61;61Sc
Ti-61;22;39;61;61Ti
Ti-61;22;39;61;61Ti
Ti-61;22;39;61;61Ti
Ti-61;22;39;61;61Ti
Ti-60;22;38;60;60Ti
Ti-60;22;38;60;60Ti
Ti-60;22;38;60;60Ti
Ti-59;22;37;59;59Ti
Ti-59;22;37;59;59Ti
Ti-59;22;37;59;59Ti
Ti-58;22;36;58;58Ti
Ti-58;22;36;58;58Ti
Ti-57;22;35;57;57Ti
Ti-57;22;35;57;57Ti
Ti-56;22;34;56;56Ti
Ti-56;22;34;56;56Ti
Ti-55;22;33;55;55Ti
Ti-54;22;32;54;54Ti
Ti-53;22;31;53;53Ti
Ti-52;22;30;52;52Ti
Ti-65;22;43;65;65Ti
Ti-64;22;42;64;64Ti
Ti-63;22;41;63;63Ti
Ti-63;22;41;63;63Ti
Ti-63;22;41;63;63Ti
Ti-63;22;41;63;63Ti
Ti-62;22;40;62;62Ti
Ti-62;22;40;62;62Ti
Ti-62;22;40;62;62Ti
Ti-62;22;40;62;62Ti
Ti-41;22;19;41;41Ti
Ti-41;22;19;41;41Ti
Ti-40;22;18;40;40Ti
Ti-40;22;18;40;40Ti
Ti-39;22;17;39;39Ti
Ti-39;22;17;39;39Ti
Ti-38;22;16;38;38Ti
Ti-37;22;15;37;37Ti
Ti-51;22;29;51;51Ti
Ti-50;22;28;50;50Ti
Ti-49;22;27;49;49Ti
Ti-48;22;26;48;48Ti
Ti-47;22;25;47;47Ti
Ti-46;22;24;46;46Ti
Ti-45;22;23;45;45Ti
Ti-44;22;22;44;44Ti
Ti-43;22;21;43;43Ti
Ti-42;22;20;42;42Ti
V-64;23;41;64;64V
V-64;23;41;64;64V
V-64;23;41;64;64V
V-64;23;41;64;64V
V-65;23;42;65;65V
V-65;23;42;65;65V
V-65;23;42;65;65V
V-65;23;42;65;65V
V-66;23;43;66;66V
V-66;23;43;66;66V
V-66;23;43;66;66V
V-66;23;43;66;66V
V-67;23;44;67;67V
V-63;23;40;63;63V
V-63;23;40;63;63V
V-63;23;40;63;63V
V-63;23;40;63;63V
V-50;23;27;50;50V
V-50;23;27;50;50V
V-51;23;28;51;51V
V-52;23;29;52;52V
V-43;23;20;43;43V
V-44;23;21;44;44V
V-44;23;21;44;44V
V-44;23;21;44;44V
V-45;23;22;45;45V
V-46;23;23;46;46V
V-46;23;23;46;46V
V-47;23;24;47;47V
V-48;23;25;48;48V
V-49;23;26;49;49V
V-61;23;38;61;61V
V-61;23;38;61;61V
V-61;23;38;61;61V
V-62;23;39;62;62V
V-62;23;39;62;62V
V-62;23;39;62;62V
V-53;23;30;53;53V
V-54;23;31;54;54V
V-54;23;31;54;54V
V-55;23;32;55;55V
V-56;23;33;56;56V
V-56;23;33;56;56V
V-57;23;34;57;57V
V-57;23;34;57;57V
V-58;23;35;58;58V
V-58;23;35;58;58V
V-59;23;36;59;59V
V-59;23;36;59;59V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-60;23;37;60;60V
V-39;23;16;39;39V
V-40;23;17;40;40V
V-41;23;18;41;41V
V-42;23;19;42;42V
